,id,link,year,week,result
0,0,https://www.transfermarkt.com/besiktas-jk_trabzonspor/index/spielbericht/951663,1,1,-1
1,1,https://www.transfermarkt.com/goztepe_bursaspor/index/spielbericht/951664,1,1,2
2,2,https://www.transfermarkt.com/genclerbirligi-ankara_diyarbakirspor/index/spielbericht/951665,1,1,0
3,3,https://www.transfermarkt.com/fenerbahce_samsunspor/index/spielbericht/951666,1,1,3
4,4,https://www.transfermarkt.com/caykur-rizespor_kocaelispor/index/spielbericht/951667,1,1,0
5,5,https://www.transfermarkt.com/istanbulspor_malatyaspor/index/spielbericht/951668,1,1,1
6,6,https://www.transfermarkt.com/antalyaspor_mke-ankaragucu/index/spielbericht/951669,1,1,-7
7,7,https://www.transfermarkt.com/denizlispor_yimpas-yozgatspor/index/spielbericht/951670,1,1,5
8,8,https://www.transfermarkt.com/gaziantepspor_galatasaray/index/spielbericht/951671,1,1,0
9,9,https://www.transfermarkt.com/bursaspor_besiktas-jk/index/spielbericht/1096257,1,2,0
10,10,https://www.transfermarkt.com/diyarbakirspor_goztepe/index/spielbericht/1096258,1,2,-1
11,11,https://www.transfermarkt.com/kocaelispor_antalyaspor/index/spielbericht/1096259,1,2,2
12,12,https://www.transfermarkt.com/genclerbirligi-ankara_samsunspor/index/spielbericht/1096260,1,2,0
13,13,https://www.transfermarkt.com/galatasaray_denizlispor/index/spielbericht/1096261,1,2,1
14,14,https://www.transfermarkt.com/yimpas-yozgatspor_caykur-rizespor/index/spielbericht/1096262,1,2,1
15,15,https://www.transfermarkt.com/istanbulspor_fenerbahce/index/spielbericht/1096263,1,2,1
16,16,https://www.transfermarkt.com/mke-ankaragucu_malatyaspor/index/spielbericht/1096264,1,2,6
17,17,https://www.transfermarkt.com/trabzonspor_gaziantepspor/index/spielbericht/1096265,1,2,1
18,18,https://www.transfermarkt.com/trabzonspor_bursaspor/index/spielbericht/1096266,1,3,5
19,19,https://www.transfermarkt.com/goztepe_samsunspor/index/spielbericht/1096267,1,3,1
20,20,https://www.transfermarkt.com/besiktas-jk_diyarbakirspor/index/spielbericht/1096268,1,3,4
21,21,https://www.transfermarkt.com/genclerbirligi-ankara_istanbulspor/index/spielbericht/1096269,1,3,-1
22,22,https://www.transfermarkt.com/antalyaspor_yimpas-yozgatspor/index/spielbericht/1096270,1,3,0
23,23,https://www.transfermarkt.com/gaziantepspor_denizlispor/index/spielbericht/1096271,1,3,0
24,24,https://www.transfermarkt.com/kocaelispor_malatyaspor/index/spielbericht/1096272,1,3,2
25,25,https://www.transfermarkt.com/fenerbahce_mke-ankaragucu/index/spielbericht/1096273,1,3,3
26,26,https://www.transfermarkt.com/caykur-rizespor_galatasaray/index/spielbericht/1096274,1,3,-3
27,27,https://www.transfermarkt.com/mke-ankaragucu_genclerbirligi-ankara/index/spielbericht/1096275,1,4,-3
28,28,https://www.transfermarkt.com/kocaelispor_fenerbahce/index/spielbericht/1096276,1,4,0
29,29,https://www.transfermarkt.com/diyarbakirspor_trabzonspor/index/spielbericht/1096277,1,4,2
30,30,https://www.transfermarkt.com/bursaspor_gaziantepspor/index/spielbericht/1096278,1,4,-2
31,31,https://www.transfermarkt.com/galatasaray_antalyaspor/index/spielbericht/1096279,1,4,1
32,32,https://www.transfermarkt.com/yimpas-yozgatspor_malatyaspor/index/spielbericht/1096280,1,4,3
33,33,https://www.transfermarkt.com/istanbulspor_goztepe/index/spielbericht/1096281,1,4,0
